input_name,input_id,image,caption,credit,offset
ArF immersion scanners,N22,51772117816_d21e4c08d3_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/yLPQz6_DAgNCAtu2GHAIUA/x7O_IM9_PiyXax0qo3XKpsHdSoeIt_VZF4nUD98k3x29Oyn9ZQe4LEl1e5319OcZQvLLkpF1dKIRyfSojUId5lD36R6zIKuCivfsjUYBvhGZfg-H_kpg41fb8Us8w-BoAX4TKyymqJrVLYWnXW3juLjmdwIJwFLFoCigptit0f8/SEGsvZ4B5d6n0JSOCiRA9X5vvzC7EQMHIURRAOIQbBA),A 28 nm chip sits on the photographer's finger. ArF immersion scanners are among the only photolithography machines capable of producing 28 nm devices.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51772117816),29
Photolithography,N25,Chromium_photomask_(details).JPG (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/0H8A5QUbIS-8RQRoiFvYgQ/hQi29tQz7mluQxtDSuNFp8c2FKaCjUkJ2Y1GzQu0a7gBJ7wWkEa4pqwrWj9kuT_ah5TMn_EVvP3aw4VH85ncy7w8cpdtxTSRSw-QoyEGWioP9ZuJ6BPyp-uC9azW01F41yibqIK3CXUe6znHPfxU8-2Mi3gCPwglecyJxR7LXFI/JLTVH39rSksFiS5xyHSmwp2waad5rR0kdaATamaWBq0),Patterns in a photomask.,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Laser_lithography_writing_head_and_table.JPG) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),20
Wafer,N26,50368256758_05b476867e_o.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/ZNRzH9767lk6lf3S9QY4uQ/g52usQCqykNISldQusg7fuQIMNEL4Un3xUUBKZvqjAO8CtZ0CR7NiYtEk3Pwk_6iJgru4nOjiLtWjaE-NTOU7Egq8B0INGmMPV-Wn-4zUdb761W3a9GWqKnb-sKbXvRfjoJp_RsNUax7byL9VKhy8nBDXbyRcQu1J_RDqZgoioo/tdv-vBJ1NkKeqcWnwdkINqFkd_QaoU41c5NfYV-0V-w),A silicon wafer houses rows of processors. The processors will be cut from the wafer and individually packaged.,[Connie Zhou/IBM](https://www.flickr.com/photos/ibm_research_zurich/50368256758/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),25
Photomask (maskless) lithography equipment,N28,U_S__Department_of_Energy_-_Science_-_390_014_008_(9566483876).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/XOM29q-B4NMcYtNwGULqiA/yNamnxbhiuL2GjbuIGcXQqi634jo1YdSgVLAgI1kcX1u5_vKSHwmmU3Y3MLb_ayACExtf4bHyKh578tSdHq--PSGo8jA9V68dS4zbG-oSP_GiC8qq7cPE7d17sWfaRCLVopBiHtr_DcVb1gU6mFNfHAoANduCJmWNetQCeYVzM0dWRS4d1PfzZ-k4_-zEM3NObFO0jIylac7mwPMNpBxwA/NSYj8SmG-cDpZMRxpynWEv-n1-vvFHIi-xLZIhBZs4w),An electron-beam (e-beam) lithography device is operated in a research setting. E-beam machinery is often used to produce advanced photomasks. ,United States Department of Energy,13
Electron-beam lithography tools,N29,JEOL_Electron_Beam_Lithography_(EBL)_(48539692681).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/9EhK4EbqTkK2FbfG7FwoGg/paDZaB2G__LbIYI774E6lvByk8QHjbXMw5_GSnPz9nC0SQGmYuEqyKr02WOaf6rWlBazd1JrnU742e1OdLl0cuMUKvxTiyrVEizGOgYmpT0OpAsl2v8uS1p0KWh8_uh7e9LsnZPpqIoHDIHLnzYC-8GtXREeu2VCmpl-laFal8PZjVKLFK5bKwrVQXhIxWoA/-Ecy3amVUYy5STez8iL0ieuBzhFgXbkRZiKGJjhaYGo),"An e-beam device manufactured by JEOL, a Japanese producer.",[Simon Fraser University](https://commons.wikimedia.org/wiki/File:JEOL_Electron_Beam_Lithography_(EBL)_(48539692681).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),6
Laser lithography tools,N30,2560px-Laser_lithography_writing_head_and_table.JPG (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/cWQZso5-GOMnqXSbkVqI3A/QJ2KBHcYBck_flVMZawOWhe9hn7ByEfVfHky5ekNP2sduMAcDHJtIxURHW0QrwzWD3L1VH0tdnRpkZ3t3k0YFtwjGYQx8lkZrVVntkAfZavaUvMg3pgsp2uYDbGZy5IUoGlHJ6OVAqFy2SNQORvqzUkdctZ7W8XxE-pahaJgioh2Bj-m5IMCjyXSgRj6T7O0/DC2KCu4Anbk3qzzr90y79kIIwCGSA-0oW8u9HRf3IDs),The writing head and table of a Heidelberg Instruments laser lithography machine.,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Laser_lithography_writing_head_and_table.JPG) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),18
Photoresists,N31,Photoresist_spin_coating.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/0dHI_q-ThwhWsyDDJ_6Qxw/EF5ro_vpdqOWFXknXVVauIJmCa8r5-mwSnNSA8YhAyWuOoO9CyGPFlt34TXy3lZcdwQk56rl6oEw_VZ0N8uhejYsCbSEDI3nH8GvQu65Fp_pBki3VPK0tRmyLp59JqU1kQ0WJrf7pG5O5gwzDU9soxTTvhEIPlB2wSX2x_484Y8/BSC9mNJja0yasAtXH_RliS3fRjb_CRr0SjuKxN1i6QQ),Photoresist is spin-coated onto a silicon wafer.,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Photoresist_spin_coating.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),17
Advanced photomasks,N33,Semiconductor_photomask.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/wDNHUXJv5_Jx8v-NHxOhcw/WxhBTrihFjn1JSDOvhwomO0sQ2WIXQMa16COOIoqxBNTwR6poxPqT_gubUPS-ghACfofsc5oIDaFJw2e7e78AoZH8EcFuLOwecYX0OvLAfUlO0_I3qYVTiDB0bN0qkvGBxT8ZGy3QQrY52aQp0n1Tyo-ZWNtT9qf5bEtehg2mUM/Y5mGmSiOPE2-H0_B9AzALbhTFADxVoQAt5r3ypA04_g),"A photomask. Photolithography tools pass light through the mask to transfer its patterns to a silicon wafer, creating minute circuits.",Wikimedia Commons user [Peellden](https://commons.wikimedia.org/wiki/File:Semiconductor_photomask.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0)),36
Deposition,N35,PICT0111.JPG (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/GHqAQsV6ndhNaSqsV456ZA/KxI_Vx2OjfY2uVkVD5LgtqmFt_sZvUEDA0OkuWE9UiVIaoolDSBB61NNzet-huUCyEm1hKTp7-_NEQ6dt7AMkgFeBLl7v5teo23iD9F7cTINw3KQT2jsKshHJuC6GGiGd-Yu02yCyXnwYD6bfOVZfA/26S-gdEPPoHGC1SVE5Kyli51NLcBs0MIqUbzVTip-pU),Deposition using the plasma chemical vapor deposition method.,Wikipedia user [polyparadigm](https://commons.wikimedia.org/wiki/File:PICT0111.JPG),27
Deposition tools,N36,chamber_h.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/zV6X89-wXJDY6_igBTVflg/UY-iOvTmdxSZBgA1ETh5O_n8TJzLaTE3uSXMZHUSaWO98qxcFXb7STs6Y_14aVfq8suJNmgXWrfOfX0JXTkIMqhCFH1xxk-7npsHwIsKle5o3HI9Q13Fxkh5vb_0kuXLwGNtzrDDSs84BLjO5Kjw1Q/6Can5RhcT0CO-j4XxxJVY_8W6cVZNBNqYuv1xijOCdg),The deposition chamber of a chemical vapor deposition device used in research. The three nozzles spray metal oxides onto the silicon below.,Wayne L. Gladfelter/National Science Foundation,26
Plasma CVD tools,N38,2560px-Argon_Plasma.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/6hd5IvI4wvq6h_IK0Z0GIQ/pwC2OHe9YkOE3OmjJQpcvCRTbZWaqD_BwGUS_QZHxFRj2e4PRRopxvEVKIjvdIpERS8D9Fr5MJrS30mubH-aOAwH_9n5g1yJu8YN8F-ctcsmGz-N2GQT1W3_hr5xkt0DyMTzVaTdA5YwUNwbOYak8EhUr2ResUG5-r5xzSZk3Dc/HGLogOK_xjfAoKNT7xHbGTDszfUz-yf6JmHY8cmhjoE),Argon plasma generated in an experimental chamber at the University of Iowa.,Wikimedia Commons user [Windchu](https://commons.wikimedia.org/wiki/File:Argon_Plasma.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),25
High-temperature CVD tools,N40,2560px-Chemical_Vapor_Deposition_Setup.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/kiB0gB_G4xPrNkoOdDd4Yw/JPHrzoJ2qxEp1Iw9QgfsXEqjBcwluWfimw_yXbu34oJFHM-YH-CR7pYfU4rMsA1dR723OdFZGD-jXP-wu3OMckOMyN4-UzZdWcpMRLXf1J4UMv8oJV-Q9pGZ47krAru73l74DoNh3PEqnEoDeYfpZ0f7qn3S_FBsKbNIgbN3IpVREjmSt9Ojub3ALgzNftHZ/qXSK8HfGC76vQMjt9ihWcgvwHDDY2f7uX0-__Mdf3G0),A chemical vapor deposition furnace.,Wikimedia Commons user [Aksy88](https://commons.wikimedia.org/wiki/File:Chemical_Vapor_Deposition_Setup.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),31
Atomic layer deposition tools,N41,Goddard_Technologist_Vivek_Dwivedi_(8051292351).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/7sDqsDnKovzClQOoXXCy_Q/FV6qzhJoa8BIRu2AFmOr6rEMAfrgyFTOK_rx-Xm2yXWuZCnwYFcoK5aHxJEDTnBCqZFRjdB5Jp-dEnuHdS-O5GZWf9QDEYlS45WfWugiVoShpJhKZQWlWkLWlXr0fQGQyMU0DHUTOus1bbWwpq9PUKjqsU2p8NxztTGD4M4txK4qK1LS6OzcDptU07kMk-1W/iozltNDB0XN5KHatP52Pgi4R6_AwhH8pHPm1t1hDh_s),Researchers operating an atomic layer deposition reactor at NASA Goddard Space Flight Center.,[Chris Gunn/NASA Goddard Space Flight Center](https://commons.wikimedia.org/wiki/File:Goddard_Technologist_Vivek_Dwivedi_(8051292351).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),40
Physical vapor deposition tools,N42,Au_sputtering_light.JPG (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/nhX2vLtwjL0Udp-S0sc9RQ/l7EZwNNZslSMVpvRAmgkGVqDapBermLcWNtPzZItflS-HujMvjiv_lraauf0-1xMnm8Fo1dKfmLloNIgcjYsHQ_1J2l_CaBH7sRDFG0uQj3-8jAbjujaPBXpEET6k7-RVeYKpQv1fU8MZEyZcMbCgG0RNNmpZ8Upg7fjD03KW_s/D6v4fv7u0sU11tbl28jqmQ7Ln0wef8yh96uUsLx4EvU),"Gold atoms are ""sputtered"" (deposited) onto a substrate in a physical vapor deposition chamber.",Wikimedia Commons user [GcG](https://commons.wikimedia.org/wiki/File:Au_sputtering_light.JPG),21
Etch and clean,N46,Dry_etching_test_strucutres.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/3PPMaa5Dwt9SNXKXqMgRHw/05fh7KBXJMegimAsVH_6TX4J3TT_7uw3CNnkBbA82Zi5nmWWDBfS9SE8s6XtqeIjQ2iWRn4OYhw9ovbqVt6u4W6xQV-gDf9TS3wU0W38aDCpzJtmXF3i0vq-pbEj-0J0gK41Ze_ENzYHPrRIwHFbzuV3PfYY21Ko_spUOW_-z8w/6RItpU7BdMvpYbwttRpx-OxAztrepeHGI9J8lRGCASc),"Test structures etched with a deep reactive ion etching tool, magnified 32x using an electron microscope.",Wikimedia Commons user [Mgerit](https://commons.wikimedia.org/wiki/File:Dry_etching_test_strucutres.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),40
Etching and cleaning tools,N55,Etch_depth.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/z3hHxhSx4rbCDYxh2f_aoA/8J5ezpaNv0VOeaxBTN4R6K04aazR1kZGQQt24Z53wYAG8JnWXaBI78kBXb9vw8ami6GQSkEvRTdIlKv04SXly3U2RXAbFlX8vpELi-EQBXTHQ7eKuEF6r8-uFs9wS3bKUa53gRSYseO8HPV5_IgBww/rWFxQKfAWTrt0De0H7CyGAq--JFoYIXTSidy1FRE1zY),"Channels etched with a deep reactive ion etching tool. The deepest channel is about 100 micrometers, roughly the width of a human hair.",Wikimedia Commons user [Mgerit](https://commons.wikimedia.org/wiki/File:Etch_depth.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),0
Chemical mechanical planarization,N57,50914098903_e113113b94_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/Ljoii_nNFTWWzS3jdN3Eeg/JH4ILLTpViCViFy_Vtd9hVOk23J-ZOInIeEbp3TQbsVmess5F2xccyJelHdLgYn9cXTJ7iwinULwqj-00N6rYWPiYgnd70W8soiLdbuZjXTVJnQ8b20MFf8-fNK7ZDAJjQR8GH9c8bTgyKGARv05QpoJZCcOtWeX5PysElBUj_Y/Z5lKM72UR6jtNKQuud94kIf71Bzs06E-5SshkREDMYk),Side view of an Nvidia processor.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50914098903/),22
Process control,N60,52193038285_c2cec7c12c_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/0S3fML0yX_Pb3dF68qLlCA/rNWd3auxKDypzcGTY0-kFN44Euc_HqZG15nthrYbUFXU3meZQYX7R7wsfs7PaA3-48jIxh1cJgZMHZ0-3vtUC_ufCYhtZwCTJqcNwyOr-1zv_lAAB11ycQP-uou4UWJ7LC1cx7ONkD7JtThJo6mkjAHS0mbQw2NXn3MSKz9YR1c/waujvlXRVVJL4h-k4ywghvlqsi4uzMqQqyjbMrMnuBM),An Nvidia graphics processor manufactured with a 16 nm process. Nanoscale manufacturing is only possible with sophisticated process control equipment.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/52193038285/),30
Wafer inspection equipment,N61,UC_Davis_Cleanroom_(45490135442).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/4r0yWn3M9sjJAzfjwjuiVA/Gtk5jAbchN55wJSNpYr8U9lGVCe4qsyMCBqCHf9EXASnsfIuaE3-LhXgskLp9jfjzkUWGTBMyw3ZtwK4TWmY2G4Ia9_5ZfeB99JYLpaFTge6RHNNJ4Ss-C4djytPdM1Fp88RJDcPPnjQPcNaCaJy-lpGksjo-j7nYvb0eNtVG14/xZnwH_kcNUhTQyC0GktBSHMq5ZkpHbrRMsexGRcwXVY),"A research ellipsometer at the University of California, Davis.","[Lucy Knowles/University of California, Davis](https://commons.wikimedia.org/wiki/File:UC_Davis_Cleanroom_(45490135442).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0))",18
Film and wafer measuring tools,N65,Ellipsometrie.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/SrLylrJv4Azv3SSInwldTg/d5YGuVkcHu6pg4osa4Wor_ijQDyA3HCVICWOVJSrO-l7ULo80ccxLOUgwVj8CKVVbtdnKn6Lhj74fF-8EyljrSWx95jMxmtz6zCo1B5XbRZALFsBgFocjtm1fIFk4FZRXIH0Od8bipfDUIDb6UBjlA/Eic8Yq2afyRiTDOMxtQwDOoc872AdzDbm0KZN6fb6gM),Inspecting a silicon sample with an ellipsometer.,Wikimedia Commons user [Jule](https://commons.wikimedia.org/wiki/File:Ellipsometrie.jpg),32
Critical dimensions measurement tools,N66,Supra_VP_(6908585171).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/h-no-TvHTCGZeWCbT2aLiQ/prfHVRAbxeh6M0TuldGiZXp4BzNm1RRt6SnmtKvsMkeGQ0MYhgi4Z41psm1nRDfWxRT_QB4-n6ryAPCzPVtPn9JcUvSioXZxb2ddpYhttgOe7rAM-AcOnA83que4sb6yRQwffMOGjQZ42VaxlBScRkzRC-sZE2ai-udZElOg6BI/HN5jii1UBRYdu-4xevPrq9h3C1WPLRFg6-ouaEJfzPs),Scanning electron microscopes like this Zeiss system are used for dimensions measurement.,[Zeiss Microscopy](https://commons.wikimedia.org/wiki/File:Supra_VP_(6908585171).jpg) ([CC BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0)),24
Defect inspection tools,N67,Fotograf-Pelle-Sten-17.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/g8hW1CBGtlCWKxctEJ-P_w/iYK7FO8LcvpqRO25T9V9QXUDZB2hkincT56x6ycr0xghUAIzrNJtbrYXa5pBLWUmkaNV8c56FVo9cxzLLIxvTzSWQCMyBjRGSFjtiztd3SDW_e0iOJ1mWO12qFX5KzH7z_hYafm4ydHi4WYNlzLg4qslrKZxPkdtyMPyoMHubrA/tWJaiHaRwQSEpahQ21HK8ETlLPYZPO5qdCPgi2tYveg),Operating an electron microscope in a research setting. Electron microscopes can be used to inspect semiconductor devices for defects.,[Pelle Sten/Riksantikvarieämbetet](https://commons.wikimedia.org/wiki/File:SEM-microscope_Riksantikvarie%C3%A4mbetet.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),20
General-purpose microscopy tools,N68,2560px-Environmental_Transmission_Electron_Microscope.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/elYRSajXxX5MueqTHw5LMA/rqevXdOPq_pPuuDD68UcQyNJiKEpH4A9he6cLObp2JbvufYbA3387E0aDXVB2H-LgZOOkfTcMqj-xNMx_g5itGkzZgSr3himQ2N0nD7icig9HSNkL0iW9-AS-U-HIEwasYyk0ISKDC9F1fzfBFGzKeLp8ICd70RFLMuMY-5EHDO7L1YocvFFppZgzhNz9nxlRGJJdygMdO4GuV4nUwsv5Q/dHCvpxsNjFB9EtwFdvdHjVj_bLKUgdTQp_dq1iAr0P0),A transmission electron microscope in use at the Pacific Northwest National Laboratory.,Wikimedia Commons user [Reneegas1](https://commons.wikimedia.org/wiki/File:Environmental_Transmission_Electron_Microscope.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),27
Assembly and packaging,N69,24573702486_f85c6626b8_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/lg5vt6rFXboOOKZwPExzDg/0gUlaS68mPQO9VouH1SU3097AczyPHhEaAMEtBDp9_T41ym3-1naa__lBr1Y0KJHfpHgCX0u-TcDboD7UhhdOxU90HTwXKR_FFBNTGlFUBjGbbefIcskcMFPED0Bx9JTbVi4EJ670VSBcNRgIk5oC3eL1J71dGGbNog9Vxwd1Mk/bC0lPSo9mb2E1B8Ak3ck0BZDM7o-NFY7c2Y4tynwNKM),"An older-generation Intel processor sits in its package. The package protects the processor, removes waste heat, and provides an interface to other devices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/24573702486/),32
