input_id,Change needed?,Reorganized?,input_name,input_id,goes_into_name,goes_into_id,is_type_of_name,is_type_of_id
N50,Needs Reorg,TRUE,Conductor etching tools,N50,,,Dry etch tools,N103
N51,"Modified, Needs Reorg",TRUE,Insulator etching tools,N51,,,Dry etch tools,N103
N46,,FALSE,Etch and clean,N46,Chemical mechanical planarization,N57,,
N86,,FALSE,Chemical mechanical planarization tools,N86,Chemical mechanical planarization,N57,,
N11,,FALSE,Wafer handlers,N11,Wafer and photomask handling,N59,,
N12,,FALSE,Photomask handlers,N12,Wafer and photomask handling,N59,,
N59,,FALSE,Wafer and photomask handling,N59,Deposition,N35,,
N59,,FALSE,Wafer and photomask handling,N59,Photolithography,N25,,
N59,,FALSE,Wafer and photomask handling,N59,Etch and clean,N46,,
N59,,FALSE,Wafer and photomask handling,N59,Chemical mechanical planarization,N57,,
N59,,FALSE,Wafer and photomask handling,N59,Ion implantation,N17,,
N10,,FALSE,Wafer bonding and aligning tools,N10,Wafer production,N26,,
N60,,FALSE,Process control,N60,Deposition,N35,,
N60,,FALSE,Process control,N60,Photolithography,N25,,
N60,,FALSE,Process control,N60,Etch and clean,N46,,
N60,,FALSE,Process control,N60,Chemical mechanical planarization,N57,,
N60,,FALSE,Process control,N60,Ion implantation,N17,,
N61,Modified,FALSE,Wafer inspection tools,N61,Process control,N60,,
N62,,FALSE,Photomask inspection and repair tools,N62,Process control,N60,,
N63,,FALSE,Wafer level packaging inspection tools,N63,Process control,N60,,
N64,Modified,FALSE,Process monitoring tools,N64,Process control,N60,,
N65,,FALSE,"Film, stack, and shape metrology tools",N65,,,Wafer inspection tools,N61
N66,,FALSE,Critical dimensions metrology tools,N66,,,Wafer inspection tools,N61
N67,,FALSE,Defect inspection tools,N67,,,Wafer inspection tools,N61
N57,,FALSE,Chemical mechanical planarization,N57,Assembly and packaging,N69,,
N70,,FALSE,Assembly inspection tools,N70,Assembly and packaging,N69,,
N71,,FALSE,Dicing tools,N71,Assembly and packaging,N69,,
N72,,FALSE,Bonding tools,N72,Assembly and packaging,N69,,
N73,,FALSE,Die attaching tools,N73,,,Bonding tools,N72
N74,,FALSE,Wire bonding tools,N74,,,Bonding tools,N72
N75,,FALSE,Advanced interconnect tools,N75,,,Bonding tools,N72
N76,,FALSE,Packaging tools,N76,Assembly and packaging,N69,,
N77,,FALSE,Integrated assembly tools,N77,Assembly and packaging,N69,,
N69,,FALSE,Assembly and packaging,N69,Testing,N78,,
N80,Modified,FALSE,SoC test tools,N80,Testing,N78,,
N81,Modified,FALSE,Burn-in test tools,N81,Testing,N78,,
N82,,FALSE,Linear and discrete testing tools,N82,Testing,N78,,
N83,,FALSE,Handlers and probes,N83,Testing,N78,,
N85,,FALSE,Core intellectual property,N85,Advanced CPUs,N1,,
N85,,FALSE,Core intellectual property,N85,Discrete GPUs,N2,,
N85,,FALSE,Core intellectual property,N85,FPGAs,N3,,
N85,,FALSE,Core intellectual property,N85,AI ASICs,N4,,
N84,,FALSE,Electronic design automation software,N84,Advanced CPUs,N1,,
N84,,FALSE,Electronic design automation software,N84,Discrete GPUs,N2,,
N84,,FALSE,Electronic design automation software,N84,FPGAs,N3,,
N84,,FALSE,Electronic design automation software,N84,AI ASICs,N4,,
N90,,FALSE,CMP materials,N90,Chemical mechanical planarization,N57,,
N88,,FALSE,Deposition materials,N88,Deposition,N35,,
N91,,FALSE,Electronic gases,N91,Deposition,N35,,
N91,,FALSE,Electronic gases,N91,Photolithography,N25,,
N91,,FALSE,Electronic gases,N91,Etch and clean,N46,,
N91,,FALSE,Electronic gases,N91,Chemical mechanical planarization,N57,,
N91,,FALSE,Electronic gases,N91,Assembly and packaging,N69,,
N92,,FALSE,Wet chemicals,N92,Deposition,N35,,
N92,,FALSE,Wet chemicals,N92,Photolithography,N25,,
N92,,FALSE,Wet chemicals,N92,Etch and clean,N46,,
N92,,FALSE,Wet chemicals,N92,Chemical mechanical planarization,N57,,
N93,,FALSE,Lead frames,N93,,,Packaging materials,N100
N94,,FALSE,Bond wires,N94,,,Packaging materials,N100
N95,,FALSE,Ceramic packages,N95,,,Packaging materials,N100
N96,,FALSE,Substrates,N96,,,Packaging materials,N100
N97,,FALSE,Encapsulation resins,N97,,,Packaging materials,N100
N98,,FALSE,Die attach materials,N98,,,Packaging materials,N100
N78,,FALSE,Testing,N78,Finished logic chip,N99,,
N100,,FALSE,Packaging materials,N100,Assembly and packaging,N69,,
N1,"Needs Reorg, Modified",TRUE,Advanced CPUs,N1,,,Logic chip design,N0
N2,"Needs Reorg, Modified",TRUE,Discrete GPUs,N2,,,Logic chip design,N0
N3,"Needs Reorg, Modified",TRUE,FPGAs,N3,,,Logic chip design,N0
N4,"Needs Reorg, Modified",TRUE,AI ASICs,N4,,,Logic chip design,N0
N107,"New, Needs Reorg",TRUE,Imprint Lithography,N107,,,Lithography tools,N19
N105,"New, Needs Reorg",TRUE,KrF (DUV) lithography tools,N105,,,Lithography tools,N19
N106,"New, Needs Reorg",TRUE,i-line lithography tools,N106,,,Lithography tools,N19
N108,"New, Needs Reorg",TRUE,Direct Write Systems,N108,,,Lithography tools,N19
N104,"New, Needs Reorg",TRUE,Plasma modification tools,N104,,,Deposition tools,N36
N103,"New, Needs Reorg",TRUE,Dry etch tools,N103,Dry etching and cleaning tools,N48,,
N102,"New, Needs Reorg",TRUE,Dry clean tools,N102,Dry etching and cleaning tools,N48,,
N54,"New, Needs Reorg",TRUE,Misc. dry etch tools,N54,,,Dry etch tools,N103
N52,"New, Needs Reorg",TRUE,Ion milling tools,N52,,,Dry etching and cleaning tools,N48
N53,"New, Needs Reorg",TRUE,Dry stripping tools,N53,,,Etching and cleaning tools,N102
N114,"New, Needs Reorg",TRUE,Overlay metrology tools,N114,,,Wafer inspection tools,N61
N115,"New, Needs Reorg",TRUE,E-beam metrology tools,N115,,,Wafer inspection tools,N61
N116,"New, Needs Reorg",TRUE,Defect review stations,N116,,,Wafer inspection tools,N61
N79,"New, Needs Reorg",TRUE,Memory test tools,N79,Testing,N78,,
N109,"New, Needs Reorg",TRUE,Advanced packaging tools,N109,Assembly and packaging,N69,,
N101,"New, Needs Reorg",TRUE,Etching tools (for adv. pkg.),N101,,,Advanced packaging tools,N109
N110,"New, Needs Reorg",TRUE,CVD tools (for adv. pkg.),N110,,,Advanced packaging tools,N109
N111,"New, Needs Reorg",TRUE,PVD tools (for adv. pkg.),N111,,,Advanced packaging tools,N109
N112,"New, Needs Reorg",TRUE,Spin-on deposition tools (for adv. pkg.),N112,,,Advanced packaging tools,N109
N113,"New, Needs Reorg",TRUE,ECP tools (for adv. pkg.),N113,,,Advanced packaging tools,N109
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
,,FALSE,,,,,,
