Row,Company,In PARAT?,HQ country,HQ city,HQ state/province,Website URL,Major presence in countries other than country of HQ,Subsidiarity,Sources
302,Achronix,,USA,Santa Clara,California,https://www.achronix.com/,India,,"https://www.crunchbase.com/organization/achronix-semiconductor
https://www.achronix.com/company
https://investorplace.com/2021/01/achronix-spac-merger-6-things-to-know-about-the-semiconductor-play-ahead-of-any-ace-deal/"
303,Loongson,,China,Beijing,Beijing,http://www.loongson.cn/,,,http://www.loongson.cn/companyintroduction/0
304,Hua Hong,,China,Shanghai,Shanghai,http://www.huahonggrace.com/s/index.php,,,http://www.huahonggrace.com/s/index.php
305,Cambricon,checked,China,Beijing,Beijing,https://www.cambricon.com/,,,"https://www.crunchbase.com/organization/cambricon-technologies
"
306,Gowin,,China,Guangzhou,Guangdong,https://gowinsemi.com/,,,"https://www.crunchbase.com/organization/gowin-semiconductor
https://gowinsemi.com/en/about/about/"
307,GlobalFoundries,,USA,Malta,New York,https://gf.com/,"Belgium,Germany,Bulgaria,India,China,Singapore",,"https://gf.com/globalfoundries-moves-corporate-headquarters-its-most-advanced-semiconductor/ 
https://gf.com/about-us/contact-us/worldwide-locations/ "
308,TongFu,,China,Nantong,Jiangsu,https://www.tfme.com,,Has several subsidiarity,https://www.tfme.com/singlepage/2.html
309,Phytium,,China,Tianjin,Tianjin,https://www.phytium.com.cn/en/class/11,,"Jointly established by China Electronics Corporation, Tianjin Binhai New AreaGovernment and Tianjin Advanced Technology Research Institute",https://www.phytium.com.cn/en/class/11
310,Tianshui Huatian Technology,,China,Tianshui,Gansu,http://en.tshtkj.com/index.html,,,http://en.tshtkj.com/index.html
311,Efinix,,USA,Cupertino,California,https://www.efinixinc.com/,"Canada,Asia (various)",,https://www.efinixinc.com/company-contact-us.html
312,Tesla,checked,USA,Austin,Texas,https://www.tesla.com/,"Europe (various),Asia (various),Australia",,https://www.tesla.com/contact
313,HiSilicon,,China,Shenzhen,Guangdong,https://www.hisilicon.com/,"Asia (various),Europe (various)",Huawei,"https://www.crunchbase.com/organization/hisilicon
https://www.hisilicon.com/en/about-us/company
"
314,Lattice Semiconductor,,USA,Hillsboro,Oregon,https://www.latticesemi.com/en/About,"China,Canada",,https://www.latticesemi.com/en/About
315,Toshiba,,Japan,Minato-ku,Tokyo,https://www.toshiba.com/tai/,"United States,China,Vietnam,India,United Kingdom",,"https://www.global.toshiba/ww/outline/corporate/location.html
https://toshiba.semicon-storage.com/us/company/about/omc.html
https://www.global.toshiba/ww/technology/corporate/global.html "
316,Beijing JingYi Century Automatic Equipment,,China,Beijing,Beijing,http://www.baecltd.com.cn,,,http://www.baecltd.com.cn
317,Gudeng,,Taiwan,New Taipei City,New Taipei City,https://www.gudeng.com,China,,https://www.gudeng.com
318,Microchip,checked,USA,Chandler,Arizona,https://www.microchip.com/,"Thailand,Philippines ",,"https://www.microchip.com/salesdirectory
https://en.wikipedia.org/wiki/Microchip_Technology
"
319,Graphcore,checked,United Kingdom,Bristol,Bristol,https://www.graphcore.ai/,"Europe (various),Asia (various)",,"https://www.crunchbase.com/organization/graphcore
https://www.graphcore.ai/contact "
320,Flex Logix,,USA,Mountain View,California,https://flex-logix.com/,,,https://flex-logix.com/
321,Horizon Robotics,checked,China,Beijing,Beijing,https://en.horizon.ai/,USA,,"https://en.horizon.ai/

https://www.crunchbase.com/organization/horizon-robotics
"
322,Intellifusion,checked,China,Shenzhen,Guangdong,https://www.intellif.com/,,,"https://www.intellif.com/int/about.html

https://www.crunchbase.com/organization/intellifusion

"
323,Sunway,,China,Leshan,Sichuan,https://www.sunwayint.com/en/about.html?lang=en,,,"https://www.sunwayint.com/en/about.html?lang=en
"
324,TSMC,,Taiwan,Hsinchu,Hsinchu,https://www.tsmc.com/english,"China,USA,Canada,Japan",,"https://www.tsmc.com/english/aboutTSMC/company_profile
https://www.tsmc.com/english/aboutTSMC/TSMC_Fabs 
https://en.wikipedia.org/wiki/Hsinchu#Government
https://www.tsmc.com/static/english/careers/designCenter_Canada.htm#brick-DTP 
https://www.tsmc.com/static/english/careers/designCenter_Japan.htm "
325,Samsung,checked,South Korea,Suwon-si,Gyeonggi-do,https://www.samsung.com/,"United States,Canada,Europe (various),Asia (various)",,"https://research.samsung.com/global-rnd-network
https://news.samsung.com/global/purposely-leaked-20-things-about-samsungs-digital-city"
326,SMIC,,China,Shanghai,Shanghai,https://www.smics.com/en/,,,https://www.smics.com/en/site/about_summary
327,UMC,,Taiwan,Hsinchu,Hsinchu,https://www.umc.com/en/home/Index,Asia (various),,https://www.umc.com/en/StaticPage/about_overview
328,Powerchip,,Taiwan,Hsinchu,Hsinchu,https://www.powerchip.com/index_en.html,,,https://www.powerchip.com/contact_en.html
329,STMicroelectronics,,Switzerland,Geneva,Geneve,https://www.st.com/content/st_com/en.html,"Europe (various),Asia (various),China,USA,Morocco",,https://www.st.com/content/st_com/en/about/st_company_information/who-we-are.html
330,NXP,checked,Netherlands,Eindhoven,North Brabant,https://www.nxp.com/,"Asia (various),Europe (various),Canada,United States",,https://www.nxp.com/company/about-nxp/worldwide-locations:GLOBAL_SITES
331,Amkor,,USA,Tempe,Arizona,https://amkor.com/,"Asia (various),Portugal",,https://amkor.com/contact-us/
332,Micron,,USA,Boise,Idaho,https://www.micron.com/,"Asia (various),Europe (various)",,"https://www.micron.com/about/locations
https://www.crunchbase.com/organization/micron-technology
"
333,ASE,,Taiwan,Kaohsiung,Kaohsiung,https://ase.aseglobal.com/en/about,"Asia (various),USA","Subsidiary since 2018 of the Ase Technology Holding Company Limited
(the ticker listed is for the Holding Company)","https://ase.aseglobal.com/en/about
https://ase.aseglobal.com/en/about/manufacturing_facilities
https://www.crunchbase.com/organization/ase-group

"
334,SK Hynix,,South Korea,Icheon-si,Gyeonggi-do,https://www.skhynix.com/,"China,Taiwan,Belarus,Italy,United States",SK Group,https://www.skhynix.com/company/UI-FR-CP06
335,Accretech,,Japan,Hachiōji-shi,Tokyo,https://www.accretech.jp/english/index.html,,,https://www.accretech.jp/english/company/com_profile.html
336,JCET,,China,Jiangyin,Jiangsu,https://www.jcetglobal.com/en/?lang=en&flag=1,"Singapore,South Korea",,"https://www.jcetglobal.com/en/site/global
https://www.crunchbase.com/organization/jcet
"
337,Disco,,Japan,Tokyo,Tokyo,https://www.disco.co.jp/eg/index.html,,,https://www.disco.co.jp/eg/network/
338,UTAC,,Singapore ,Singapore,Singapore,https://www.utacgroup.com/,"China,Asia (various)",,https://www.utacgroup.com/about/who-we-are-2.html/
339,Powertech,,Taiwan,Hukou,Hsinchu,https://www.pti.com.tw/,"Japan,China",,https://www.pti.com.tw/en/about/location
340,PVA TePla,,Germany,Wettenberg,Hessen,https://www.pvatepla.com/en,"United States,Italy,China",,"https://www.pvatepla.com/en/pva-tepla-ag/worldwide/
https://www.pvatepla.com/fileadmin/user_upload/Gruppenwebsite/downloads/berichte/2021/annual-report-pvatepla-a-2021.pdf (13, 34)"
341,Shenzhen Newway,,China,Shenzhen,Guangdong,http://www.newwaymask.com,,,"http://www.newwaymask.com
Official website in Chinese only
For validation, could check on this: https://www.semi.org/en/resources/member-directory/shenzhen-newway-photomask-making-co-ltd
"
342,EV Group,,Austria,Sankt Florian am Inn,Upper Austria,https://www.evgroup.com/,,,https://www.evgroup.com/company/global-presence/
343,Jinhong Gas,,China,Suzhou,Jiangsu,http://www.jinhonggroup.com,,,http://www.jinhonggroup.com/about/?24.html
344,Zhonghuan Semiconductor,,China,Tianjin,Tianjin,http://www.tjsemi.com,,,http://www.tjsemi.com/lists/2.html
345,Heidelberg Instruments,,Germany,Heidelberg,Baden-Wurttemberg,https://heidelberg-instruments.com,"Asia (various),United States,Switzerland",,https://heidelberg-instruments.com/locations/
346,JSG,,China,Shaoxing,Zhejiang,https://www.jsjd.cc/en/about.aspx,Japan,,https://www.jsjd.cc/en/about.aspx
347,Okamoto,,Japan,Annaka,Gunma,https://www.okamotoen.com/company,"Singapore,Thailand",,"https://www.okamotoen.com/major-overseas-operations
https://www.okamotoen.com/company
"
348,Meyer Burger,,Switzerland,Thun,Bern,"https://www.precision-surface.com/
https://www.meyerburger.com/en/","Germany,United States","According to Crunchbase, the Wafering Division of Meyer Burger was acquired by Precision Surfacing Solutions in 2019",https://www.crunchbase.com/organization/meyer-burger-wafering-division
349,Toyo,,Japan,Tokyo,Tokyo,https://toyo-denshi.co.jp/en/,Thailand,,https://toyo-denshi.co.jp/en/company/profile/
350,SUSS MicroTec,,Germany,Garching,Bayern,https://www.suss.com/en,"Switzerland,Taiwan",,https://www.suss.com/en/company/organization
351,Neutronix,,USA,Morgan Hill,California,https://neutronixinc.com/,,,https://www.crunchbase.com/organization/neutronix-quintel
352,SMEE,,China,Shanghai,Shanghai,https://www.smee.com.cn/,,,http://www.smee.com.cn/eis.pub?service=homepageService&method=indexinfo&onclicknodeno=1_2_6
353,Daifuku,,Japan,Osaka,Osaka,https://www.daifuku.com/,"China,Taiwan,South Korea",,"https://www.daifuku.com/company/summary/
https://www.daifuku.com/company/groupcompanies/asiapacific/ "
354,Rorze,,Japan,Fukayama,Hiroshima,https://www.rorze.com/,"China,USA,South Korea,Taiwan,Vietnam",,"https://www.rorze.com/en/company/base/
https://www.rorze.com/wp_rorze/wp-content/uploads/2022/06/Company_Profile2205.pdf
"
355,SEMES,,South Korea,Cheonan-si,Chungcheongnam-do,http://www.semes.com/,"United States,China,Taiwan",Samsung,"https://pitchbook.com/profiles/company/158682-88
https://craft.co/semes 
https://www.thelec.net/news/articleView.html?idxno=3423#:~:text=The%20CEO%20of%20South%20Korean,talented%20engineers%2C%20TheElec%20has%20learned. 
http://semes.com/ko/company/establishment-information"
356,Muratec,,Japan,Kyoto,Kyoto,https://www.murata-system.co.jp/,"USA,Taiwan,China",,https://www.murata-system.co.jp/corp/network.html
357,RECIF,,France,Blagnac,Occitania,http://www.reciftech.com/,"United States,Taiwan",Yotta Capital Partners (private equity firm),"http://www.reciftech.com/en/company/global-presence
https://yottacapital.fr/en/
"
358,Brooks,,USA,Chelmsford,Massachusetts,https://www.brooks.com/,"China,Asia (various)","Private equity firm Thomas H. Lee Partners purchased the Semiconductor Solutions Group from Brooks Automation. The deal was set to close in the first half of 2022, although I haven't seen confirmation of that closure. ","https://www.brooks.com/global-offices/
https://thl.com/news-post/thomas-h-lee-partners-to-acquire-automation-business-from-brooks-automation-for-3-billion-in-cash/
"
359,ESI,,USA,Beaverton,Oregon,https://www.esi.com/,China,"MKS Instruments, Inc.",https://www.esi.com/about-esi/locations/
360,Applied Materials,checked,USA,Santa Clara,California,https://www.appliedmaterials.com/,"Asia (various),Europe (various),Canada,United States",,https://www.appliedmaterials.com/company/contact/locations
361,Nissin Ion,,Japan,Kyoto,Kyoto,https://www.nissin-ion.co.jp/en/,USA,"Fully owned by the Nissin Electric Co., Ltd.","https://www.nissin-ion.co.jp/en/crp/aboutus/
https://www.nissin-ion.co.jp/en/crp/base02/
"
362,SMIT,checked,Japan,Tokyo,Tokyo,https://shi-ion.jp/english/,"Taiwan,South Korea,China",,https://shi-ion.jp/english/about/office/
363,Axcelis,,USA,Beverly,Massachusetts,https://www.axcelis.com/,South Korea,,"https://www.axcelis.com/about/contact-us/
https://investor.axcelis.com/news-releases/news-release-details/axcelis-announces-participation-semicon-korea-2022
Note: Website lists 30 ""offices"" worldwide, but it's unclear that these are major presences; they appear to be offices intended to provide services to local semiconductor firms. "
364,Shanghai Juno,,China,Shanghai,Shanghai,http://www.junotester.com/index.html,Japan,,http://www.junotester.com/JUNO_About/About_JianJie.html
365,Hermes-Epitek,,Taiwan,Hsinchu,Hsinchu,https://www.hermes.com.tw/en/,China,,"https://www.hermes.com.tw/en/global-locations/
https://www.hermes.com.tw/en/products/manufacturing-center/
"
366,ASML,,Netherlands,Veldhoven,North Brabant,https://www.asml.com/en,"United States,Germany,China,South Korea,Taiwan",,"https://www.asml.com/en/company/about-asml/locations
https://www.asml.com/en/investors/annual-report/2021 (p.121)"
367,Nikon,,Japan,Tokyo,Tokyo,https://www.nikon.com/,"United States,United Kingdom,China,Thailand",,https://www.nikon.com/about/corporate/profile/data/
368,NuFlare,,Japan,Yokohama-shi,Kanagawa,http://www.nuflare.co.jp/english/,United States,Toshiba Machine Co. Ltd.,"http://www.nuflare.co.jp/english/corporate/about.html
NuFlare Technology, Inc. was founded in 2002 as a spinoff of the Semiconductor Equipment Division of Toshiba Machine Co. Ltd."
369,Mycronic,,Sweden,Täby,Stockholm,https://www.mycronic.com/en/,"United States,Europe (various),South Korea,Japan,Singapore,China",,https://www.mycronic.com/en/about-mycronic/contact/subsidiaries/
370,JEOL,,Japan,Akishama,Tokyo,https://www.jeol.co.jp/en/,"United Kingdom,United States",,"https://www.jeol.co.jp/en/news/detail/20210525.4875.html
https://www.jeol.co.jp/en/corporate/outline/standard/ 
https://www.jeolusa.com/ABOUT-US/The-Company/lc/28551/lcv/s "
371,Kingstone Semiconductor,,China,Shanghai,Shanghai,http://www.kingstonesemi.com/index.html,,Shanghai Wanye Enterprises Co Ltd,"http://www.kingstonesemi.com/cn/about/57.html#contact1
http://www.kingstonesemi.com/en/about/77.html
"
372,Thermo Fisher,checked,USA,Waltham,Massachusetts,https://www.thermofisher.com/us/en/home.html,"USA,Mexico,Europe (various),Asia (various)",,"https://corporate.thermofisher.com/us/en/index/about.html
https://assets.thermofisher.com/TFS-Assets/MSD/Flyers/40-years-of-semi-factsheet-fl0178.pdf"
373,Vistec Electron Beam,,Germany,Jena,Thuringia,https://www.vistec-semi.com,,,https://www.vistec-semi.com/company/overview
374,Zeiss,,Germany,Oberkochen,Baden-Württemberg,https://www.zeiss.com/corporate/us/home.html,"United States,Israel",,"https://www.zeiss.com/corporate/us/about-zeiss.html
https://www.zeiss.com/semiconductor-manufacturing-technology/about-us.html#companystructure"
375,Hitachi,,Japan,Tokyo,Tokyo,https://www.hitachi.com/,,,https://www.hitachi.com/corporate/index.html
376,Tescan,,Czechia,Brno-Kohoutovice,South Moravian,https://www.tescan.com/en,,,https://www.tescan.com/contacts/
377,Eurofins,,Luxembourg,Luxembourg City,Luxembourgh City,https://www.eurofins.com,"Europe (various),Asia (various),Oceania (various),Africa (various),South America (various)",,https://www.eurofins.com/contact-us/group-directory-pdf/
378,HORIBA,,Japan,Kyoto,Kyoto,https://www.horiba.com/int/,"North America (various),Asia (various),Europe (various)",,https://www.horiba.com/int/company/about-horiba/company-profile/
379,A&D,,Japan,Toshima,Tokyo,https://www.aandd.jp/,"United States,Australia,South Korea,China,Vietnam",,"https://www.aandd.jp/company/company_profile.html
https://www.aandd.jp/company/contact_us.html "
380,Tokyo Electron,,Japan,Tokyo,Tokyo,https://www.tel.com ,"United States,Ireland,Asia (various)",,https://www.tel.com/about/locations/
381,Raith,,Germany,Dortmund,North Rhine-Westphalia,https://raith.com/,"United States,Asia (various),Netherlands",,"https://raith.com/company/locations-representatives/
https://raith.com/company/about-us/ (2020 on timeline shows Netherlands production)"
383,Kingsemi,,China,Shenyang,Liaoning,http://www.kingsemi.com,,,http://www.kingsemi.com/gywm/
384,Piotech,,China,Shenyang,Liaoning,http://www.sypiotech.cn,,,http://www.sypiotech.cn/index.php/Lx/lx
385,Screen,,Japan,Kyoto,Kyoto,https://www.screen.co.jp/spe/en,France,"The semiconductor firm is a subsidiary of SCREEN Holdings Co., Ltd.","https://www.screen.co.jp/spe/en/company/about
https://www.screen.co.jp/spe/en/company/network"
386,FOCUS,,Germany,Hünstetten,Hessen,https://www.focus-gmbh.com/,,,https://www.focus-gmbh.com/about-us/
387,Brewer Science,,United States,Rolla,Missouri,https://www.brewerscience.com,,,https://www.brewerscience.com/about-us/locations/
388,Rite Track,,United States,West Chester,Ohio,https://ritetrack.com,,A SHELLBACK Semiconductor Technology Subsidiary,https://ritetrack.com/contact-us/
389,Lam Research,checked,USA,Fremont,California,https://www.lamresearch.com/,"South Korea,Malaysia,Taiwan,Austria",,https://investor.lamresearch.com/stock-information?_ga=2.266356742.968621300.1654212222-1044056452.1654212222
390,ASM International,,Netherlands,Almere,Flevoland,https://www.asm.com/,"USA,Asia (various),Europe (various)",,https://www.asm.com/about/company-profile
391,SKY Technology Development,,China,Shenyang,Liaoning,https://www.sky.ac.cn/,,SKY is affiliated with the Chinese Academy of Sciences,https://www.sky.ac.cn/contact121.html
392,NAURA,,China,Beijing,Beijing,https://www.naura.com/en/,USA,"Naura is structured as the NAURA Technology Group Co., Ltd. with various subsidiaries (e.g. the Beijing NAURA Microelectronics Equipment Co.,Ltd.)
",https://www.naura.com/en/index.php/about/world.html
393,Kokusai,,Japan,Tokyo,Tokyo,https://www.kokusai-electric.com/,South Korea,Kokusai Electric actually split off from Hitachi Kokusai Electric in 2018 with the financial support of Kohlberg Kravis Roberts & Co. L.P ,"https://www.kokusai-electric.com/en/assets/file/company/corporate_profile_en_202110.pdf
https://www.kokusai-electric.com/en/company/list/
https://www.kokusai-electric.com/en/company/message/
"
394,ULVAC,,Japan,Chigasaki,Kanagawa,https://www.ulvac.co.jp/en/,"United States,China,South Korea,Taiwan,Malaysia",,https://www.ulvac.co.jp/en/company/outline/index.html
395,KLA,,United States,Milpitas,California,https://www.kla.com/,"Europe (various),Asia (various)",,"https://ir.kla.com/news-events/press-releases/detail/415/kla-announces-grand-opening-of-200-million-second
https://www.kla.com/locations"
396,Mattson Tech,,United States,Fremont,California,https://mattson.com/,"Germany,China",E-Town Dragon,"https://mattson.com/contact-us/worldwide-locations/
https://mattson.com/about-us/ 
https://www.sec.gov/Archives/edgar/data/928421/000119312515392661/d46587dex992.htm "
397,AP Systems,,South Korea,Dongtan,Gyeonggi-do,https://www.apsystems.co.kr/eng/index.asp,,Held within the APS Holdings Corporation, https://www.apsystems.co.kr/eng/company/global.asp
398,Veeco,,United States,Plainview,New York,https://www.veeco.com/,"Germany,United Kingdom,Asia (various)",,https://www.veeco.com/contact-us/
399,AMEC,,China,Shanghai,Shanghai,https://www.amec-inc.com,South Korea,,"https://www.amec-inc.com/index/Lists/show/catid/4/id/496.html
https://www.amec-inc.com/en/index/Lists/show/catid/4/id/502.html
"
400,Plasma-Therm,,United States,Saint Petersburg,Florida,http://www.plasma-therm.com/index.html,Europe (various),,"http://www.plasma-therm.com/about.html
https://www.crunchbase.com/organization/plasma-therm
"
401,Charm Engineering,,South Korea,Yongin,Gyeonggi-do,http://www.charmeng.com/kr/,,,http://www.charmeng.com/en/sub/company/location.asp
402,EBARA,,Japan,Tokyo,Tokyo,https://www.ebara.co.jp/en/,"China,Thailand,Singapore,Vietnam",,https://www.ebara.co.jp/en/corporate/locations/global-network/index.html
403,SAMCO,,Japan,Kyoto,Kyoto,https://www.samcointl.com,United States,,"https://www.samcointl.com/global-office-location/
https://www.samco-plasma.cn/about/global-office-location/
"
404,Hwatsing,,China,Tianjin,Tianjin,http://www.hwatsing.com/,,,http://www.hwatsing.com/guanyu
405,KCTech,,South Korea,Anseong,Gyeonggi-do,http://www.kctech.com/,,"KC Co., Ltd.","http://www.kctech.com/eng/page/overview.php
http://www.kct.co.kr/eng/page/company5.php "
406,GigaLane,,South Korea,Hwaseong,Gyeonggi-do,http://www.gigalane.com/ko/,,,http://www.gigalane.com/en/ir_company01_01.html
407,Revasum,,United States,San Luis Obispo,California,https://www.revasum.com/,,,"https://www.revasum.com/index.php#about
https://investors.revasum.com/Investor-Centre/ "
408,Lasertec,,Japan,Yokohama ,Kanagawa,https://www.lasertec.co.jp/en/,"China,Singapore,Taiwan,South Korea,USA",,https://www.lasertec.co.jp/en/company/agent.html
409,CAMTEK,,Israel,Migdal Ha'emek,Northern District,https://www.camtek.com/,China,,"https://www.camtek.com/contact/headquarters/
https://google.brand.edgar-online.com/efxapi/EFX_dll/EDGARpro.dll?FetchFilingHtmlSection1?SectionID=7849915-81337-133278&SessionID=SuxZeHPq9TMbID7 (29)"
410,Keysight Tech,checked,USA,Santa Rosa,California,https://www.keysight.com/us/en/home.html,"Europe (various),Asia (various)",,https://www.keysight.com/us/en/assets/7018-06934/brochures/5992-4135.pdf
411,Bruker,,United States,Billerica,Massachusetts,https://www.bruker.com/en.html,"Israel,Europe (various)",,"https://www.bruker.com/en/services/support.html
https://www.sec.gov/Archives/edgar/data/1109354/000104746919000839/a2237863z10-k.htm (13-14)
"
412,Keithley Instruments,,USA,Cleveland,Ohio,https://www.tek.com/en/products/keithley,,Keithley is a subsidiary of Tektronix,"https://www.linkedin.com/company/keithley-instruments/about/
https://www.tek.com/en/products/keithley"
413,Top Engineering,,South Korea,Gumi,Gyeongsangbuk-do,http://www.topengnet.co.kr/eng/,,,"http://www.topengnet.co.kr/eng/intro/ko_map.asp
http://www.topengnet.co.kr/eng/intro/other_map.asp 
https://www.wsj.com/market-data/quotes/KR/065130/company-people 
http://www.topengnet.co.kr/eng/intro/history03.asp "
414,ASM Pacific,,Singapore ,Singapore,Singapore,https://www.asmpacific.com/en/,"USA,Europe (various),Asia (various)",,https://www.asmpacific.com/en/about/asmpt-worldwide
415,Grand Process,,Taiwan,Hsinchu,Hsinchu,http://www.gptc.com.tw/en,,,http://www.gptc.com.tw/cn/contact
416,Rigaku,,Japan,Akishima,Tokyo,https://www.rigaku.com,United States,,https://www.rigaku.com/rigaku-divisions
417,ASTI,,Singapore ,Singapore,Singapore,https://www.astigp.com/,"United Kingdom,USA,Asia (various)",,https://www.astigp.com/01_04global.htm
418,Koh Young Tech,,South Korea,Geumcheon-gu,Seoul,https://www.kohyoung.com/en,"North America (various),Germany,Asia (various)",,https://www.kohyoung.com/en/company/Contact 
419,Cohu,,USA,Poway,California,https://www.cohu.com/,"Germany,Switzerland,Japan,Philippines ,Malaysia",,https://www.cohu.com/company-about-us
420,RSIC,,China,Shanghai,Shanghai,http://www.rsicsh.com,,,"http://www.rsicsh.com/page-6.html
In English: http://en.rsicsh.com/page-6.html
"
421,Grand Tec,,China,Shenzhen,Guangdong,https://www.grand-tec.com/en/,,,https://www.grand-tec.com/en/about/Company_Profile/
422,MIRTEC,,South Korea,Gunpo,Gyeonggi-do,http://www.mirtec.com/,,,"http://www.mirtec.com/en/Location.php?cate=3
http://www.mirtec.com/en/ "
423,Nanotronics,,United States,New York City,New York,https://nanotronics.co,,,"https://nanotronics.co/contact/
https://nanotronics.co/thinkspace/shared-visions-art-science-and-industry/
"
424,Onto Innovation,,United States,Wilmington,Massachusetts,https://ontoinnovation.com,China,,https://ontoinnovation.com/company/locations
425,Accretech,,Japan,Hachioji,Tokyo,https://www.accretech.jp,,,https://www.accretech.jp/english/company/com_profile.html
426,Canon,,Japan,Tokyo,Tokyo,https://global.canon/en/,"Asia (various),Europe (various),United States",,https://global.canon/en/corporate/group/index.html
427,Longhill Industries,,China,Hong Kong,Hong Kong,http://www.longhill-ind.com/index.html,,,http://www.longhill-ind.com/index.html
428,SYNOVA,,Switzerland,Duillier,Vaud,https://www.synova.ch,"Germany,United States,China,India,Japan,South Korea",,"https://www.synova.ch/contact/headquarters.html
https://www.synova.ch/contact/worldwide.html
https://www.synova.ch/company/about-us.html

"
429,Besi,,Netherlands,Duiven,Gelderland,https://www.besi.com,"Europe (various),Asia (various)",,"https://www.besi.com/company/company-overview/
https://www.besi.com/company/company-profile/
"
430,Fasford Tech,,Japan,Minami-Alps,Yamanashi,https://www.fasford-tech.com/en/,,Fasford Technology belongs to FUJI group.,"https://www.fasford-tech.com/en/company/profile/
https://www.fasford-tech.com/en/company/history/
"
431,Hoson,,China,Shenzhen,Guangdong,http://www.hoson.com.cn/en/,,,http://www.hoson.com.cn/en/col.jsp?id=101
432,PROTEC,,South Korea,Anyang,Gyeonggi-do,http://www.protec21.co.kr/,Singapore,,"http://www.protec21.co.kr/company/about/
https://www.emis.com/php/company-profile/KR/Protec_CoLtd_en_1651240.html
http://www.protec21.co.kr/company/history/ :싱가포르 R&D센터 설립 (Singapore R&D Center established)"
433,DIAS Automation,,China,Hong Kong,Hong Kong,http://diasautomation.com/,,,http://diasautomation.com/
434,Kulicke & Soffa,,Singapore ,Singapore,Singapore,https://www.kns.com/,"USA,China,Israel,Switzerland,Netherlands",,https://www.kns.com/Contact
435,Hesse,,Germany,Paderborn,North Rhine-Westphalia,https://www.hesse-mechatronics.com/en/,,,https://www.hesse-mechatronics.com/en/company/about-us/
436,Shinkawa,,Japan,Tokyo,Tokyo,https://www.yamaha-robotics.com/en/brand/shinkawa,,"Shinkawa is a subsidiary of the Yamaha Robotics Holdings Co., Ltd. ",https://www.yamaha-robotics.com/en/corporate/outline/shinkawa?hsLang=en
437,KOSES,,South Korea,Bucheon,Gyeonggi-do,http://www.koses.co.kr/en/,,,http://www.koses.co.kr/en/
438,HANMI,,South Korea,Incheon,Incheon,http://www.hanmisemi.com/_2013dev/en/,,,http://www.hanmisemi.com/_2013dev/en/company/global.asp
439,TOWA,,Japan,Kyoto,Kyoto,https://www.towajapan.co.jp/en/,"Netherlands,China,South Korea,USA,Malaysia",The TOWA Corporation is held within the TOWA Group,"https://www.towajapan.co.jp/en/company/about/
https://www.towajapan.co.jp/en/network/global/"
440,SSP,,South Korea,Incheon,Incheon,http://www.sspinc.co.kr/en/,,,http://www.sspinc.co.kr/en/m17.php
441,Trinity Tech,,China,Tongling,Anhui,http://www.chinatrinity.com/index.html,,,http://www.chinatrinity.com/sjprofile/sjprofile.html
