input_id,input_name,type,stage_name,stage_id,description,year,market_share_chart_global_market_size_info,market_share_chart_caption,market_share_chart_source
N26,Wafer,material_resource,,,"Silicon wafers are the basic building block for chip production. To produce them, a furnace forms a cylinder of silicon (or other semiconducting materials), which is then cut into disc-shaped wafers. These wafers are then processed, split and packaged into individual chips. Most wafers are made purely of silicon or another material, but others have more complex structures.  Dopants, such as boron, aluminum, phosphorous, platinum or other elements, may be added to alter the level of semiconductivity.

300 mm wafers, produced by Japanese, Taiwanese, German, and Korean firms, are used to produce nearly all advanced chips today. Manufacturing the smoothest, high-purity 300 mm wafers-which are necessary for supporting the smallest chip feature sizes-requires considerable tacit know-how. Older-technology wafer sizes include 150 and 200 mm, used for chips with larger feature sizes.",2019,$10.9 billion,,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing CSET estimates based on financial statements and wafer production capacities)
N28,Maskless lithography tools,tool_resource,,,"Maskless lithography equipment draws patterns in a substrate using laser light, electrons, or ions. Unlike photolithography equipment, maskless lithography tools work without masks. This allows them to quickly and cheaply make new patterns, but slows down the process of drawing patterns into the wafer. As a result, maskless lithography tools can cost-effectively produce low-volume items like photomasks, but are are ill-suited to mass chip production.",,,,
N29,Mask exposure systems - e-beam,tool_resource,,,"Electron-beam (or ""e-beam"") lithography tools draw patterns in a substrate using electrons. They are the dominant tools for photomask production, and are also infrequently used for low-volume chip production. Like other maskless lithography tools, e-beam tools can quickly and cheaply make new patterns, but are slow at drawing patterns into wafers, making them ill-suited to mass chip production.",2024,$951.8 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N30,Mask exposure systems - laser beam,tool_resource,,,"Laser lithography tools draw patterns in a substrate using laser light. They are sometimes used to produce photomasks (though less often than e-beam tools). Like other maskless lithography tools, laser lithography tools can quickly and cheaply make new patterns, but are slow at drawing patterns into wafers, making them ill-suited to mass chip production.",2024,$185 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N108,Direct write systems,tool_resource,,,"Direct write systems are lithography tools that pattern semiconductor features without using photomasks, enabling flexible and rapid prototyping in chip manufacturing. These systems use focused electron beams (e-beam), ion beams, or laser beams to directly ""write"" circuit patterns onto wafers or photoresists. Japanese firm JEOL and German firm Vistec Semiconductor are the leading manufacturers of direct write systems.",2024,$33.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N31,Photoresists,material_resource,,,"Photoresists are chemicals deposited on a wafer. When exposed to patterned light that has passed through a photomask, they selectively dissolve to form the circuit pattern. Etching is then performed in places where the photoresist has dissolved to transfer the circuit pattern permanently onto the wafer. Photoresists are specific to particular photolithography processes. Japanese firms are the leading producers.",2019,$3.3 billion (all photoresists),,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/)
N32,Resist processing tools,tool_resource,,,"Resist processing tools, also called ""tracks,"" coat photoresists on wafers (typically by spin-coating, which spins the wafer to spread deposited photoresist), develop them (dissolve portions hit by light), and bake them (harden undissolved photoresist to prepare for etching). Japan is the sole producer of the most advanced tracks for EUV and ArF immersion photolithography; Germany, South Korea, the United States, and China produce less advanced equipment.",2024,$3.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N33,Photomasks,material_resource,,,"Photomasks are transparent plates containing a circuit pattern to be fabricated in a chip. Photolithography equipment produces light that passes through this pattern so that the photomask's pattern is transferred to the chip.  Each photomask is specific to one chip design. Photomasks are produced by captive mask shops (businesses within large semiconductor manufacturing firms) or merchant mask shops (which sell to semiconductor manufacturers). Japan, the United States, and Taiwan lead production of leading-edge photomasks.",2019,$4 billion (all photomasks),,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/)
N35,Deposition,process,Fabrication,S2,"In the deposition process, specialized tools are used to deposit thin films of materials on a silicon wafer. After lithography and etching, these films become different chip layers, including for transistors, interconnects (wires), and other elements. ",,,,
N36,Deposition tools,tool_resource,,,"Deposition tools are used to deposit thin films of materials on a silicon wafer. After lithography and etching, these films become different chip layers, including for transistors, interconnects (wires), and other elements. In addition to deposition tools for integrated circuit (IC) manufacturing, this section includes deposition tools for non-IC applications, specifically: compound semiconductors, MEMS, and ""other."" Deposition tools for hard drive manufacturing are excluded.",2024,$24.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N138,Other deposition tools (non-IC),tool_resource,,,"Deposition tools for non-IC applications includes tools for compound semiconductors, MEMS, and ""other."" Deposition tools for hard drive manufacturing are excluded.",2024,$1.5 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N38,Plasma CVD tools,tool_resource,,,Plasma chemical vapor deposition tools are used to deposit for materials requiring low temperatures during the deposition process. They are mostly produced by American firms.,2024,$6.3 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N39,Low-pressure CVD tools,tool_resource,,,"Low-pressure chemical vapor deposition tools are commonly used to deposit polysilicon, tungsten, titanium, and titanium nitride.",2024,$1.8 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N40,High-temperature CVD tools,tool_resource,,,High-temperature chemical vapor deposition tools are used to deposit epitaxial layers (layers oriented in a particular way relative to underlying layers).,2024,$1.5 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N41,Atomic layer deposition tools,tool_resource,,,"Atomic layer deposition (ALD) tools are particularly advanced chemical vapor deposition tools capable of depositing layers a single atom in thickness, and are essential for leading-edge chip designs.",2024,$3.5 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N42,Physical vapor deposition tools,tool_resource,,,"Physical vapor deposition (PVD) tools vaporize a solid or liquid material, which then condenses onto a substrate. The primary PVD method is called ""sputtering."" The United States controls most of the PVD equipment market, followed by China and Japan.",2024,$4.6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N43,Rapid thermal processing tools,tool_resource,,,"Rapid thermal processing (RTP) is critical to several steps in chip manufacturing. RTP tools include lamps, lasers, or other mechanisms to quickly increase the temperature of a wafer in order to change its properties. For instance, RTP tools are used to activate materials (such as dopants in transistors) to change their properties, modify materials, or make deposited films denser to improve their properties. Some RTP tools provide heat for as long as multiple seconds (solely produced by the United States and South Korea); others provide it only for milliseconds (solely produced by the United States and Japan).",2024,$1.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N44,Tube-based diffusion and deposition tools,tool_resource,,,"Tube-based diffusion and deposition systems are called ""tube‚""-based because substrates are loaded in cylindrical chambers for processing, either causing  diffusion of dopants into a wafer (tube diffusion systems) or depositing materials for particular applications (tube deposition systems).",2024,$2.2 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N45,Electrochemical plating tools,tool_resource,,,"Electrochemical plating (ECP) tools use electrolysis to deposit materials. A common application is to deposit copper (used for wiring in chips) across a wafer. However, other techniques, such as chemical vapor deposition, can also deposit copper for some applications. ",2024,$688.7 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N104,Plasma modification tools,tool_resource,,,"Plasma modification tools are used to alter material properties of a layer that is deposited or grown on the surface of a wafer. US firm Applied Materials is the leading provider of plasma modification tools, but Japanese firms Kokusai Electric and Tokyo Electron (TEL) also hold a portion of the market.",2024,$702.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N46,Etch and clean,process,Fabrication,S2,"After photolithography creates a pattern in the photoresist coating a wafer, specialized tools etch the pattern into the permanent layer below the photoresist. The photoresist is then removed and the etched material cleaned off of the layer.

The United States and Japan are the main producers of etch and clean equipment; South Korea and China are also significant suppliers.",,,,
N55,Etch and clean tools,tool_resource,,,"After photolithography creates a pattern in the photoresist coating a wafer, specialized tools etch the pattern into the permanent layer below the photoresist. The photoresist is then removed and the etched material cleaned off of the layer.",2024,$24.7 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N47,Chemical vapor deposition tools,tool_resource,,,"Chemical vapor deposition (CVD) tools create a chemical vapor that deposits films on the wafer atom-by-atom or molecule-by-molecule. CVD is the most widely used deposition technique in chip fabrication. It is used to deposit most dielectrics (a type of insulator), silicon, and some metals. ",2024,$9.6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N48,Dry etching and cleaning tools,tool_resource,,,"Etching and cleaning tools have two main types: dry and wet. Dry etching tools-using gases to etch the substrate-are the most commonly used tool, and are especially necessary for circuit features in advanced chips. Dry etching tools have advantages over wet tools: they are fast and can etch differently depending on the direction of etch (""anisotropic etching""), which enables fine-grained features with complex shapes.

The most advanced dry etching tools are called atomic layer etching (ALE) tools. These tools are important for multiple etching applications in the most advanced chips, and are produced by leading U.S., Japanese, and British firms. Though it doesn't produce ALE tools, China’s AMEC produces dry etching tools that are perhaps the most advanced SME tools sold by any Chinese firm. They are used for leading Taiwanese chipmaker TSMC’s 7 and 5 nm nodes, though not for the finest features, such as in complex transistor structures. Recognizing China’s competitiveness in dry etching tools, the United States removed these tools from the Commerce Control List in 2016.",2024,$19.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N49,Wet etching and cleaning tools,tool_resource,,,"Etching and cleaning tools have two main types: dry and wet. Wet etching tools, using liquids, are less commonly used, and largely for cleaning wafers. Wet etching has advantages compared to dry etching-it is cheaper, risks less damage to substrates, and is more selective, i.e., it can etch a particular material without unintentionally etching nearby materials. However, it is slower and typically cannot etch differently depending on the direction of etch, making it difficult to form complex structures. Therefore, wet etching is not typically used for etching the smallest features in advanced chips.",2024,$6.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N103,Dry etch tools,tool_resource,,,The main types of dry etching tools are used either for etching conductors or dielectrics. Major subtypes of conductor and dielectric dry etching tools include sputter etching and plasma etching; plasma etching is further divided into reactive ion etching and deep reactive ion etching (a form of reactive ion etching used to make deep wells). The most commonly used form is reactive ion etching.,2024,$18.5 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N50,Conductor etching tools,tool_resource,,,"Conductor etching tools are used to carve the transistor electrodes and metal wiring into a chip. After a conductor such as copper, aluminum, tungsten, or silicon is deposited and coated with a layer of photoresist, the conductor etching tool removes the unwanted material, leaving the desired feature. U.S. firms are leading suppliers of conductor etching tools.",2024,$9.9 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N51,Insulator etching tools,tool_resource,,,"Insulator (or dielectric) etching tools electrically isolate the metal wiring and transistors on a chip. Japanese firm Tokyo Electron, U.S. firm Lam Research, and Chinese firm AMEC are the leading suppliers of insulator etching tools. ",2024,$7.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N54,Misc. dry etch tools,tool_resource,,,Miscellaneous dry etch tools are specialized semiconductor manufacturing equipment used for various etching processes in chip production. They include tools used to etch reticles as well as materials such as T follicular helper (TFH) cells and gallium arsenide (GaAs).,2024,$342.2 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N52,Ion milling tools,tool_resource,,,"Ion milling tools are advanced semiconductor manufacturing equipment used for precise material removal and surface preparation in chip production. These tools utilize focused beams of ionized gas, typically argon, to etch or polish semiconductor wafers. Ion milling enables the creation of high-quality cross-sections, smooth surfaces, and precise features crucial for advanced semiconductor devices and materials analysis.",2024,$0.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N53,Dry stripping tools,tool_resource,,,"Dry stripping tools use plasma to remove photoresist and other residues from wafers after processes like etching, ion implantation, or deposition. These tools are used to create residue-free surfaces while minimizing wafer damage and material loss. US-based but Chinese-owned firm Mattson Technology, US-firm Lam Research, Japanese firm Kokusai Electric, and South Korean firm PSK are the leading producers of dry stripping tools.",2024,$272.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N102,Dry clean tools,tool_resource,,,Dry clean tools use plasma to remove films or particles from wafers. These tools are used to create residue-free surfaces while minimizing wafer damage and material loss. US firm Lam Research and South Korean firm PSK are leading producers of dry clean tools.,2024,$295.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N57,Chemical mechanical planarization,process,Fabrication,S2,"After etching and cleaning, the wafer surface is flattened in a process called chemical mechanical planarization (CMP) to allow a new layer of features to be added. CMP tools are critical for chip fabrication, but not as complex as other tools, such as lithography and deposition tools.",,,,
N59,Wafer and photomask handlers,tool_resource,,,"Storing and transporting wafers and photomasks in a fab requires specific equipment. Although specialized, this equipment is less complex than other tools used in semiconductor manufacturing.",2024,$2.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N60,Process control tools,tool_resource,,,"In semiconductor fabrication, process control involves precisely monitoring wafers, photomasks, and the overall chip manufacturing process to ensure consistency and low manufacturing error rates. Accordingly, process control tools are among the most essential and valuable semiconductor manufacturing equipment.",2024,$13.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N61,Wafer inspection tools,tool_resource,,,"Even the tiniest imperfections can cause serious problems during chip production. Major types of wafer inspection tools include film and wafer measuring tools, critical dimensions measuring tools, defect inspection tools, general-purpose microscopes, and structural inspection tools.",,,,
N62,Photomask inspection and repair tools,tool_resource,,,"Photomask inspection and repair tools are similar to those used in wafer inspection, such as microscopes.",2024,$2.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N63,Inspection tools (adv. pkg.),tool_resource,,,"These tools inspect parts of wafers during the advanced packaging process, before these wafers are ""diced‚"" (i.e., cut) into multiple chips.",2024,$905.7 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N64,Process monitoring tools,tool_resource,,,"Process monitoring tools, such as curve tracers, are relatively low-value equipment used to measure performance of devices fabricated in wafers during chip manufacturing.",2024,$50.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N65,"Film, stack, and shape metrology tools",tool_resource,,,"Film and wafer measuring tools include tools to measure film thickness, makeup, and stack (such as Fourier-transform infrared spectrometers, ellipsometers, opto-acoustic tools, and x-ray tools) and tools to measure wafer surfaces, taper, warpage, and bow (such as wafer flatness mapping tools, surface profiling tools, optical instruments,"" and atomic force microscopes).",2024,$2.3 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N66,Critical dimensions metrology tools,tool_resource,,,Critical dimensions measuring tools (including optical tools and scanning electron microscopes) measure device dimensions and ensure alignment between a photomask and wafer during photolithography.,2024,$869.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N67,Defect inspection tools,tool_resource,,,"Defect inspection tools include brightfield inspection tools (using light to scan the wafer), darkfield inspection tools (using lasers), e-beam inspection tools (using electrons), and optical and scanning electron microscopes.",2024,$5.9 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N114,Overlay metrology tools,tool_resource,,,"Overlay metrology tools are used to measure and control the alignment accuracy between successive lithographic layers in chip production. These tools use sophisticated imaging and scatterometry techniques to detect and quantify overlay errors with nanometer-scale precision, ensuring the precise registration of device features and interconnects. US firm KLA and Dutch firm ASML are leading producers of overlay metrology tools. ",2024,$906.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
