provider_name,alias,provider_id,provider_type,country
Hanwha Precision Machinery,,P326,organization,KOR
Hon Technologies,,P327,organization,TWN
IMS Nanofabrication,IMS Nanofabrication AG,P328,organization,AUT
Incal Technology,,P329,organization,USA
Iwashita Engineering,"Iwashita Engineering , Inc",P330,organization,JPN
JT Corp.,,P331,organization,KOR
Jusung Engineering,,P332,organization,KOR
MingSeal,,P333,organization,CHN
Muehlbauer,,P334,organization,DEU
Musashi Engineering,Musashi Engineering Inc.,P335,organization,JPN
Nordson,Nordson ASYMTEK,P336,organization,USA
Nova,,P337,organization,ISR
Oxford Instruments,,P338,organization,GBR
Pentamaster,,P339,organization,MYS
Precision Valve & Automation,"Precision Valve & Automation, Inc.(PVA)",P340,organization,USA
PSK,,P341,organization,KOR
Semics,,P342,organization,KOR
Semilab,,P343,organization,HUN
Shenzhen Axxon Automation,"Shenzhen Axxon Automation Co.,Ltd",P344,organization,SWE
Tensun,"Shenzhen Tensun Industrial Equipments Co., Ltd.",P345,organization,CHN
ShibaSoku,,P346,organization,JPN
Shibaura Mechatronics,,P347,organization,JPN
Shimadzu,,P348,organization,JPN
TechWing,,P349,organization,KOR
Trymax,,P350,organization,NLD
UnitySC,Unity SC,P351,organization,FRA
YEST,,P352,organization,KOR
YIKC,,P353,organization,KOR
YoungTek Electronics (YTEC),YTEC,P354,organization,TWN
All Ring Tech,,P355,organization,TWN
BLUE Engineering,,P356,organization,KOR
Thermco Epitaxy,CSD Epitaxy,P357,organization,GBR
Dongfang Jingyuan Electron Ltd.,"Dongfang Jingyuan Microelectronics Technology Co., Ltd. (Xinji)",P358,organization,CHN
Electroplating Engineers of Japan,,P359,organization,JPN
F&K Delvotec,,P360,organization,DEU
Innogrity,,P361,organization,SGP
Intekplus,,P362,organization,KOR
KES Systems,KES System,P363,organization,USA
Leading Precision,Leading Precision Inc,P364,organization,TWN
STATEC,,P365,organization,KOR
STK Technology,,P366,organization,JPN
Tokyo Weld,,P367,organization,JPN
Trio-Tech International,,P368,organization,USA
Trion Technology,,P369,organization,USA
Onto Innovation,Rudolph Technologies,P139,organization,USA
Onto Innovation,Nanometrics,P139,organization,USA
Various companies,,P370,organization,Various countries
LUX,Luxembourg,P371,country,
Ushio,,P372,organization,JPN
Panasonic,Panasonic Factory Solutions,P373,organization,JPN
HUN,Hungary,P374,country,
EDA Industries,,P375,organization,ITA
Koyo Machinery,,P376,organization,USA
TES,,P377,organization,KOR
Minami,,P378,organization,JPN
SAEJONG IND,,P379,organization,KOR
MACHVISION,,P380,organization,TWN
Shibuya Kogyo,,P381,organization,JPN
SPEA,,P382,organization,ITA
Genesem,,P383,organization,KOR
SINGULUS TECHNOLOGIES,,P384,organization,DEU
Vermes,,P385,organization,DEU
Ultrasonic Engineering,,P386,organization,JPN
Mirae,,P387,organization,KOR
Electro Scientific Industries,,P388,organization,USA
Royce Instruments,,P389,organization,USA
Gallant Precision Machining,,P390,organization,TWN
Focused Test,,P391,organization,USA
Holon,,P392,organization,JPN
Manufacturing Integration Tech,,P393,organization,SGP
SCANNER TECH,,P394,organization,USA
Auros Technology,,P395,organization,KOR
E&R Engineering,,P396,organization,TWN
KBTEM,,P397,organization,BLR
Amerimade Technology,,P398,organization,USA
Nextin,,P399,organization,KOR
Park Systems,,P400,organization,KOR
Zygo,,P401,organization,USA
KAIJO,,P402,organization,JPN
Riber,,P403,organization,FRA
LPE,,P404,organization,ITA
Aixtron,,P405,organization,DEU
Jingsheng Electromechanical,,P406,organization,CHN
Shenzhen Naso Tech Co.,,P407,organization,CHN
Intevac,,P408,organization,USA
Palomar Technologies,,P409,organization,USA
PacTech,,P410,organization,JPN
Component Technology,,P411,organization,SGP
