input_name,input_id,image,caption,credit,offset
Handlers and probes,N83,lossy-page1-2560px-P300J_Wafer_Probe_Station_tif.jpg (https://dl.airtable.com/.attachments/7bb3af34f773994492f7f17009b34b05/1b6e2e7a/lossy-page1-2560px-P300J_Wafer_Probe_Station_tif.jpg),Phasellus eu lectus sit amet tortor rutrum ultrices nec a urna. ,Wikimedia Commons user [Rgarrigan](https://commons.wikimedia.org/wiki/File:P300J_Wafer_Probe_Station.tif) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Electronic design automation software,N84,Synopsys_Headquarters_Mountain_View.jpg (https://dl.airtable.com/.attachments/772c94e17b18f61ee85f64ad88297bfb/2ecc0d63/Synopsys_Headquarters_Mountain_View.jpg),"Morbi interdum ipsum non neque feugiat, id congue urna viverra. ",Wikimedia Commons user [LPS.1](https://commons.wikimedia.org/wiki/File:Synopsys_Headquarters_Mountain_View.jpg),
Core intellectual property,N85,Screen Shot 2022-09-09 at 3_56_55 PM.png (https://dl.airtable.com/.attachments/4e652c26d72def54fafae5a3c8890a67/fbfe409b/ScreenShot2022-09-09at3_56_55PM.png),"Quisque nec est laoreet, scelerisque massa ac, ullamcorper urna. Morbi interdum ipsum non neque feugiat, id congue urna viverra.",,
Chemical mechanical planarization materials,N90,Mountain_Pass_Rare_Earth_Mine_&_Processing_Facility.jpg (https://dl.airtable.com/.attachments/97349698824912aca69fb9f5584da477/cde296de/Mountain_Pass_Rare_Earth_Mine__Processing_Facility.jpg),Aenean ullamcorper est non lorem mollis faucibus. Aliquam non dolor luctus arcu cursus imperdiet eu vel leo.,Wikimedia Commons user [Tmy350](https://commons.wikimedia.org/wiki/File:Mountain_Pass_Rare_Earth_Mine_%26_Processing_Facility.jpg),
Electronic gases,N91,Alabuga_Air_Liquide.jpg (https://dl.airtable.com/.attachments/b6ae829ac474b755b538afa2cf9eee3c/5960141d/Alabuga_Air_Liquide.jpg),"Nulla efficitur turpis a bibendum lobortis. Sed sed est varius, vehicula enim quis, laoreet dui.",[Wikimedia Commons](https://commons.wikimedia.org/wiki/File:Alabuga_Air_Liquide.jpg),
Wet chemicals,N92,Tank_container_for_sulfuric_acid_(01).jpg (https://dl.airtable.com/.attachments/8ab85ec32b8f773d702c784e5d71105e/e309fe85/Tank_container_for_sulfuric_acid_01.jpg),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. ",Wikimedia Commons user [攝影師](https://commons.wikimedia.org/wiki/File:Tank_container_for_sulfuric_acid_(01).jpg),
Lead frames,N93,TQFP_Leadframe.jpg (https://dl.airtable.com/.attachments/cbc2f71dcb8f9a3952722fee8bba2aaa/482672c1/TQFP_Leadframe.jpg),"Donec pretium nisl et lorem aliquam, id vulputate felis ultrices. Maecenas sed justo condimentum, porta neque id, sagittis tellus.",Wikimedia Commons user [NobbiP](https://commons.wikimedia.org/wiki/File:TQFP_Leadframe.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0/)),
Bond wires,N94,2560px-071R01.jpg (https://dl.airtable.com/.attachments/c94dae430b036f1132cd4497c7089c7b/2192d687/2560px-071R01.jpg),"Phasellus eu lectus sit amet tortor rutrum ultrices nec a urna. Nullam id libero gravida, posuere ante bibendum, convallis neque.",Wikimedia Commons user [Mister rf](https://commons.wikimedia.org/wiki/File:071R01.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Substrates,N96,51772708929_2154d39c8a_k.jpg (https://dl.airtable.com/.attachments/4084eb1dbf0dc4ec34765ffaf1762d79/5776a73d/51772708929_2154d39c8a_k.jpg),"Morbi interdum ipsum non neque feugiat, id congue urna viverra. Suspendisse eget urna sed eros tristique cursus sed eu est.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51772708929/),
Encapsulation resins,N97,24070103445_727d52e65c_k.jpg (https://dl.airtable.com/.attachments/ed99bcdb6bac6695b7b1960ce74c7e12/3376e7d6/24070103445_727d52e65c_k.jpg),In et mi quis augue dignissim egestas. ,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/24070103445/),
Finished logic chip,N99,50740715301_821bfdea42_k.jpg (https://dl.airtable.com/.attachments/c078ec26d5334d38e7f83607213e4a00/430d318d/50740715301_821bfdea42_k.jpg),Duis vel metus in justo ornare pellentesque. Quisque et velit id est semper accumsan.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50740715301/),
Packaging materials,N100,23973086873_458cbe8ae4_k.jpg (https://dl.airtable.com/.attachments/42355aa5f7dc9d9e5e87c76832c6b9b8/5cb46401/23973086873_458cbe8ae4_k.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/23973086873/),
[Stage] Fabrication,S1,47049386751_a80704f79a_k.jpg (https://dl.airtable.com/.attachments/e0d3b4ba3e8b5c9a8f87c3b1e649a4b1/70f1f764/47049386751_a80704f79a_k.jpg),Duis vel metus in justo ornare pellentesque. Quisque et velit id est semper accumsan.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/47049386751/),
[Stage] Design,S2,Clean_Room_at_Center_for_Nanophase_Materials_Sciences_(7209792180).jpg (https://dl.airtable.com/.attachments/7f400a623e050e8e9b569e4be991cb81/f370ea54/Clean_Room_at_Center_for_Nanophase_Materials_Sciences_7209792180.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",Lynn Freeny/United States Department of Energy,
[Stage] ATP,S3,51373058295_894a760403_k.jpg (https://dl.airtable.com/.attachments/c1ac500cda8fa968b3b1870d7af35800/93a86447/51373058295_894a760403_k.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51373058295),
